,category,id,latitude,longitude
400,American (New),archive-bar-and-kitchen-san-francisco,37.7879306059,-122.400104534
401,Mexican,carmelinas-taqueria-san-francisco,37.763811,-122.45793
402,Fruits & Veggies,casa-lucas-market-san-francisco-2,37.753293,-122.410938
403,Pizza,seniores-pizza-san-francisco,37.7426882861,-122.475829145
404,Personal Shopping,envoy-san-francisco,37.7749295,-122.4194155
405,Mexican,papito-san-francisco,37.762331218,-122.397340476
406,Creperies,crepe-queen-san-francisco,37.7498165443,-122.386703491
407,American (New),straw-san-francisco,37.774056,-122.424198
408,Soul Food,farmerbrowns-little-skillet-san-francisco,37.778873,-122.393918
409,Pizza,all-good-pizza-san-francisco,37.7390445,-122.3897508
410,Delis,hazels-kitchen-san-francisco,37.7624836606,-122.396079898
411,Italian,fino-restaurant-san-francisco,37.7879505,-122.4120232
412,Japanese,delica-san-francisco,37.795407,-122.393217
413,Specialty Food,off-the-grid-civic-center-san-francisco-3,37.7794664097,-122.417703867
414,Vietnamese,freshroll-vietnamese-rolls-and-bowls-san-francisco,37.7839351291,-122.403370142
415,American (New),the-corner-store-san-francisco,37.782114,-122.447954
416,Thai,after-osha-thai-grab-n-go-san-francisco,37.789485,-122.4075209
417,French,le-ptit-laurent-san-francisco-2,37.7343618158,-122.433787985
418,Seafood,mission-rock-resort-san-francisco-2,37.7653970835,-122.386461496
419,Japanese,kappa-japanese-restaurant-san-francisco,37.785630967,-122.430074215
420,Pizza,goat-hill-pizza-san-francisco,37.762471,-122.397658
421,Coffee & Tea,astronaut-cafe-san-francisco,37.769777,-122.411897
422,Bars,the-monks-kettle-san-francisco,37.764729088,-122.422974909
423,Cafes,moffitt-cafe-san-francisco-4,37.7631988525,-122.458000183
424,Breakfast & Brunch,mymy-san-francisco-3,37.79093,-122.418866
425,Thai,osha-thai-express-san-francisco,37.794463199,-122.3948841
426,Coffee & Tea,arlequin-cafe-and-food-to-go-san-francisco,37.7770189941,-122.422214001
427,Coffee & Tea,working-girls-cafe-san-francisco-2,37.7922835439,-122.394137964
428,Donuts,me-méli-san-francisco,37.7695194829,-122.404942292
429,South African,amaweles-south-african-kitchen-san-francisco-2,37.7922835,-122.3929328
430,Sandwiches,ikes-place-san-francisco-4,37.7208803594,-122.478028089
431,Meat Shops,prather-ranch-meat-company-san-francisco,37.796390152,-122.394862175
432,Chinese,fat-wongs-kitchen-san-bruno,37.615727,-122.406295
433,French,chaya-brasserie-san-francisco,37.793168,-122.392192
434,Barbeque,smokin-warehouse-bbq-san-francisco,37.7697479206,-122.411829829
435,Food Stands,4505-meats-san-francisco,37.795322,-122.39302
